population,line,individual,blade_location,smaller_area_measured,hole_punch_farther_than_4cm,end_farther_than_4cm,blade_location_original,measurement_specifics,"Area (60x60 circle, should be 2828pixels^2)",mean_grey_scale,min_grey_scale,max_grey_scale,weight_of_hole_punch_mg,NOTES,NOTES
Victoria,3,1,hole punch,no,no,no,hole punch,,2828,121,94,187,1,"general note: Due to the drastic difference of size, the smaller, less successful frond ends are closer to the stipe which would result in a darker colour. ","Missing from bleached kelp photo analysis:
1.1
1.4
9.12 (but there were 2 x 9.11)
10.8
11.2
11.11
12.4 (first blade is missing. we have one photo labelled second blade)
12.12"
Victoria,3,1,middle,no,no,no,middle,,2828,153.953,125,172,1,,
Victoria,3,1,end,no,no,no,end,,2828,167.428,147,177,1,,
Victoria,3,2,hole punch,no,no,no,hole punch,,2828,123.377,102,136,1.191,,
Victoria,3,2,middle,no,no,no,middle,,2828,138.987,116,152,1.191,,
Victoria,3,2,end,no,no,no,end,,2828,156.421,99,186,1.191,,
Victoria,3,3,hole punch,no,no,no,hole punch,,2828,142.678,101,191,0.859,,
Victoria,3,3,middle,no,no,no,middle,,2828,149.413,103,167,0.859,,
Victoria,3,3,end,no,no,no,end,,2828,163.372,114,179,0.859,,
Victoria,3,4,hole punch,no,no,no,hole punch,,2828,95.384,70,125,0.905,,
Victoria,3,4,middle,no,no,no,middle,,2828,130.255,84,150,0.905,,
Victoria,3,4,end,yes,no,no,end smaller,,1124,153.483,82,176,0.905,,
Victoria,3,5,hole punch,no,no,no,hole punch,,2828,151.977,81,172,1.621,,
Victoria,3,5,middle,no,no,no,middle,,2828,148.462,93,169,1.621,,
Victoria,3,6,hole punch,no,no,no,hole punch,,2828,122.514,104,134,0.767,,
Victoria,3,6,middle,no,no,no,middle,,2828,125.676,80,151,0.767,,
Victoria,3,6,end,no,no,no,end,,2828,141.865,58,164,0.767,,
Victoria,3,7,hole punch,no,no,no,hole punch,,2828,125.592,94,137,1.008,,
Victoria,3,7,end,no,no,no,end,,2828,139.545,70,155,1.008,,
Victoria,3,8,hole punch,yes,no,no,hole punch smaller,,1156,101.597,58,132,1.094,,
Victoria,3,8,middle,no,no,no,middle,,2828,114.551,82,137,1.094,,
Victoria,3,9,end,no,no,no,end,,2828,97.89,84,109,0.825,,
Victoria,3,9,hole punch,no,yes,no,hole punch,,2828,112.477,93,127,0.825,,
Victoria,3,10,stipe,no,no,no,stipe,,2828,81.353,62,94,1.202,,
Victoria,3,10,hole punch,no,yes,no,hole punch,,2828,117.638,99,127,1.202,,
Victoria,3,10,middle,yes,no,no,middle smaller,,1264,120.128,92,143,1.202,,
Victoria,3,11,hole punch,no,no,no,hole punch,,2828,115.944,107,125,1.256,,
Victoria,3,11,end,yes,no,no,end smaller,,740,139.077,58,171,1.256,,
Victoria,3,12,hole punch,no,no,no,hole punch,,2828,99.597,79,142,0.985,,
Victoria,3,12,end,yes,no,no,end smaller,,234,108.603,28,148,0.985,,
Victoria,6,1,hole punch,yes,no,no,hole punch smaller,6.1.jpg:Hole punch smaller,674,112.015,52,134,1.079,,
Victoria,6,1,end,no,no,no,end,6.1.jpg:End,2828,158.626,105,176,1.079,,
Victoria,6,2,hole punch,no,no,no,hole punch,6.2.jpg:Hole punch,2828,131.739,116,145,NA,broke to pieces,
Victoria,6,2,middle,no,no,no,middle,6.2.jpg:Middle,2828,138.099,85,156,NA,broke to pieces,
Victoria,6,2,end,no,no,no,end ,6.2.jpg:End,2828,150.648,69,175,NA,broke to pieces,
Victoria,6,3,hole punch,no,no,no,hole punch,6.3.jpg:Hole punch,2828,136.342,71,166,0.939,,
Victoria,6,3,end,no,no,no,end,6.3.jpg:End,2828,144.811,82,186,0.939,,
Victoria,6,4,hole punch,yes,no,no,hole punch smaller,6.4.jpg:Hole punch smaller,380,100.361,58,128,1.207,,
Victoria,6,5,stipe,no,no,no,stipe,6.5.jpg:Stipe,2828,126.056,72,182,0.703,,
Victoria,6,5,end,no,no,no,end,6.5.jpg:End,2828,148.648,66,185,0.703,,
Victoria,6,6,hole punch,no,no,no,hole punch,6.6.jpg:Hole punch,2828,110.072,97,120,0.903,,
Victoria,6,6,middle,yes,no,no,middle smaller,6.6.jpg:Middle smaller,832,129.656,68,189,0.903,,
Victoria,6,7,hole punch,no,no,no,hole punch,6.7.jpg:Hole punch,2828,116.667,97,130,1.398,,
Victoria,6,7,end,no,no,no,end,6.7.jpg:End,2828,148.723,110,182,1.398,,
Victoria,6,8,hole punch,no,no,no,hole punch,6.8.jpg:Hole punch,2828,98.72,88,110,1.763,,
Victoria,6,8,middle,no,no,no,middle ,6.8.jpg:Middle,2828,127.231,97,136,1.763,,
Victoria,6,8,end,no,no,no,end,6.8.jpg:End,2828,144.994,106,181,1.763,,
Victoria,6,9,hole punch,no,no,no,hole punch,6.9.jpg:Hole punch,2828,95.323,80,183,1.077,,
Victoria,6,9,middle,no,no,no,middle,6.9.jpg:Middle,2828,120.523,81,135,1.077,,
Victoria,6,9,end,no,no,yes,end (further than 4cm),6.9.jpg:End (further than 4cm),2828,137.777,88,152,1.077,,
Victoria,6,10,hole punch,no,no,no,hole punch,6.10.jpg:Hole punch,2828,106.028,86,120,1.405,,
Victoria,6,10,middle,no,no,no,middle,6.10.jpg:Middle,2828,134.626,108,145,1.405,,
Victoria,6,11,hole punch,no,no,no,hole punch,6.11.jpg:Hole punch,2828,90.939,80,102,1.493,,
Victoria,6,11,middle,no,no,no,middle,6.11.jpg:Middle,2828,127.612,82,150,1.493,,
Victoria,6,12,stipe,no,no,no,stipe,6.12.jpg:Stipe,2828,63.299,57,71,1.269,,
Victoria,6,12,hole punch,no,yes,no,hole punch,6.12.jpg:Hole punch,2828,93.64,77,105,1.269,,
Victoria,6,12,middle,no,no,no,middle,6.12.jpg:Middle,2828,138.598,110,154,1.269,,
Victoria,6,12,end,yes,no,no,end smaller,6.12.jpg:End smaller,1136,138.709,84,170,1.269,,
Victoria,11,1,hole punch,no,no,no,hole punch,11.1.jpg:Hole punch,2828,128.455,100,142,1.138,,
Victoria,11,1,middle,no,no,no,middle,11.1.jpg:Middle,2828,143.668,120,154,1.138,,
Victoria,11,1,end,no,no,no,end,11.1.jpg:End,2828,160.312,128,173,1.138,,
Victoria,11,3,hole punch,no,no,no,hole punch,11.3.jpg:Hole punch,2828,134.531,67,154,1.64,,
Victoria,11,3,middle,no,no,no,middle,11.3.jpg:Middle,2828,149.448,75,164,1.64,,
Victoria,11,3,end,no,no,no,end,11.3.jpg:End,2828,158.997,131,170,1.64,,
Victoria,11,4,hole punch,no,no,no,hole punch,11.4.jpg:Hole punch,2828,130.354,87,152,1.241,,
Victoria,11,4,middle,no,no,no,middle,11.4.jpg:Middle,2828,143.304,108,156,1.241,,
Victoria,11,4,end,no,no,no,end,11.4.jpg:End,2828,146.504,94,167,1.241,,
Victoria,11,5,hole punch,no,no,no,hole punch,11.5.jpg:Hole punch,2828,118.095,47,187,1.211,,
Victoria,11,5,middle,no,no,no,middle,11.5.jpg:Middle,2828,126.784,97,167,1.211,,
Victoria,11,5,end,no,no,no,end,11.5.jpg:End,2828,149.103,89,170,1.211,,
Victoria,11,6,hole punch,no,no,no,hole punch,11.6.jpg:Hole punch,2828,125.464,108,140,1.261,,
Victoria,11,6,middle,no,no,no,middle,11.6.jpg:Middle,2828,140.75,113,154,1.261,,
Victoria,11,6,end,no,no,no,end,11.6.jpg:End,2828,158.197,100,175,1.261,,
Victoria,11,7,hole punch,no,no,no,hole punch,11.7.jpg:Hole punch,2828,116.525,85,181,1.412,,
Victoria,11,7,middle,no,no,no,middle,11.7.jpg:Middle,2828,139.42,109,155,1.412,,
Victoria,11,7,end,no,no,no,end,11.7.jpg:End,2828,157.218,142,169,1.412,,
Victoria,11,8,hole punch,no,no,no,hole punch,11.8.jpg:Hole punch,2828,125.949,115,138,1.082,,
Victoria,11,8,middle,no,no,no,middle,11.8.jpg:Middle,2828,151.26,137,160,1.082,,
Victoria,11,8,end,no,no,no,end,11.8.jpg:End,2828,147.557,120,160,1.082,,
Victoria,11,9,hole punch,no,no,no,hole punch,11.9.jpg:Hole punch,2828,126.782,114,138,1.284,,
Victoria,11,9,end,no,no,no,end,11.9.jpg:End,2828,137.843,118,148,1.284,,
Victoria,11,10,hole punch,no,no,no,hole punch,11.10.jpg:Hole punch,2828,121.512,111,133,1.091,,
Victoria,11,10,middle,no,no,no,middle,11.10.jpg:Middle,2828,148.109,123,155,1.091,,
Victoria,11,10,end,no,no,yes,end (further than 4cm),11.10.jpg:End more than 4cm,2828,149.581,106,174,1.091,,
Victoria,11,11,,,,,,,,,,,1.198,,
Victoria,11,12,hole punch,no,no,no,hole punch,11.12.jpg:Hole punch,2828,128.852,122,135,1.472,,
Victoria,11,12,middle,no,no,no,middle,11.12.jpg:Middle,2828,150.665,125,156,1.472,,
Victoria,11,12,end,no,no,no,end,11.12.jpg:End,2828,155.675,147,162,1.472,,
Oyster River,2,1,hole punch,no,no,no,hole punch,2.1.jpg:Hole punch,2828,111.295,94,124,1.883,,
Oyster River,2,1,middle,no,no,no,middle,2.1.jpg:Middle,2828,148.144,126,161,1.883,,
Oyster River,2,1,end,no,no,no,end,2.1.jpg:End,2828,167.177,123,187,1.883,,
Oyster River,2,2,hole punch,no,no,no,hole punch,2.2.jpg:Hole punch,2828,110.324,99,123,1.956,,
Oyster River,2,2,middle,no,no,no,middle,2.2.jpg:Middle,2828,143.191,130,153,1.956,,
Oyster River,2,2,end,no,no,no,end,2.2.jpg:End,2828,165.121,151,174,1.956,,
Oyster River,2,3,hole punch,no,no,no,hole punch,2.3.jpg:Hole punch,2828,125.783,112,136,1.145,,
Oyster River,2,3,middle,no,no,no,middle,2.3.jpg:Middle,2828,152.157,97,162,1.145,,
Oyster River,2,3,end,no,no,no,end,2.3.jpg:End,2828,164.14,125,176,1.145,,
Oyster River,2,4,hole punch,no,no,no,hole punch,2.4.jpg:Hole punch,2828,100.812,88,114,1.684,,
Oyster River,2,4,middle,no,no,no,middle,2.4.jpg:Middle,2828,135.685,124,147,1.684,,
Oyster River,2,4,end,no,no,no,end,2.4.jpg:End,2828,155.707,115,170,1.684,,
Oyster River,2,5,hole punch,no,no,no,hole punch,2.5.jpg:Hole punch,2828,79.822,65,96,1.916,,
Oyster River,2,5,middle,no,no,no,middle,2.5.jpg:Middle,2828,141.214,119,152,1.916,,
Oyster River,2,5,end,no,no,no,end,2.5.jpg:End,2828,150.063,102,170,1.916,,
Oyster River,2,6,hole punch,no,no,no,hole punch,2.6.jpg:Hole punch,2828,113.628,97,126,1.619,,
Oyster River,2,6,middle,no,no,no,middle,2.6.jpg:Middle,2828,138.763,93,150,1.619,,
Oyster River,2,6,end,no,no,no,end,2.6.jpg:End,2828,158.994,119,171,1.619,,
Oyster River,2,7,hole punch,no,no,no,hole punch,2.7.jpg:Hole punch,2828,121.723,103,133,1.6,,
Oyster River,2,7,middle,no,no,no,middle,2.7.jpg:Middle,2828,142.932,108,154,1.6,,
Oyster River,2,7,end,no,no,no,end,2.7.jpg:End,2828,162.21,89,179,1.6,,
Oyster River,2,8,hole punch,no,no,no,hole punch,2.8.jpg:Hole punch,2828,96.295,86,106,2.151,,
Oyster River,2,8,middle,no,no,no,middle,2.8.jpg:Middle,2828,140.687,114,153,2.151,,
Oyster River,2,8,end,no,no,no,end,2.8.jpg:End,2828,157.578,119,169,2.151,,
Oyster River,2,9,hole punch,no,no,no,hole punch,2.9.jpg:Hole punch,2828,110.102,98,124,1.953,,
Oyster River,2,9,middle,no,no,no,middle,2.9.jpg:Middle,2828,135.14,120,145,1.953,,
Oyster River,2,9,end,no,no,no,end,2.9.jpg:End,2828,161.321,122,170,1.953,,
Oyster River,2,10,hole punch,no,no,no,hole punch,2.10.jpg:Hole punch,2828,123.408,110,134,1.438,,
Oyster River,2,10,middle,no,no,no,middle,2.10.jpg:Middle,2828,149.656,123,158,1.438,,
Oyster River,2,10,end,no,no,no,end,2.10.jpg:End,2828,158.619,57,178,1.438,,
Oyster River,2,11,hole punch,no,no,no,hole punch,2.11.jpg:Hole punch,2828,108.352,97,116,1.738,,
Oyster River,2,11,middle,no,no,no,middle,2.11.jpg:Middle,2828,131.629,114,143,1.738,,
Oyster River,2,11,end,no,no,no,end,2.11.jpg:End,2828,165.62,125,176,1.738,,
Oyster River,2,12,hole punch,no,no,no,hole punch,2.12.jpg:Hole punch,2828,123.137,114,133,1.108,,
Oyster River,2,12,middle,no,no,no,middle,2.12.jpg:Middle,2828,153.739,117,178,1.108,,
Oyster River,2,12,end,no,no,no,end,2.12.jpg:End,2828,157.996,115,174,1.108,,
Oyster River,7,1,stipe,no,no,no,stipe,7.1.jpg:Stipe,2828,111.294,98,126,0.884,,
Oyster River,7,1,hole punch,no,yes,no,hole punch,7.1.jpg:Hole punch,2828,131.901,123,144,0.884,,
Oyster River,7,1,middle,no,no,no,middle,7.1.jpg:Middle,2828,147.115,119,158,0.884,,
Oyster River,7,1,end,no,no,no,end,7.1.jpg:End,2828,163.266,143,172,0.884,,
Oyster River,7,2,stipe,no,no,no,stipe,7.2.jpg:Stipe,2828,91.716,77,105,NA,hole punch stuck to other kelp,
Oyster River,7,2,hole punch,no,yes,no,hole punch,7.2.jpg:Hole punch,2828,134.813,119,145,NA,hole punch stuck to other kelp,
Oyster River,7,2,middle,no,no,no,middle,7.2.jpg:Middle,2828,153.103,123,165,NA,hole punch stuck to other kelp,
Oyster River,7,2,end,no,no,no,end,7.2.jpg:End,2828,160.319,138,177,NA,hole punch stuck to other kelp,
Oyster River,7,3,stipe,no,no,no,stipe,7.3.jpg:Stipe,2828,102.686,86,115,0.966,,
Oyster River,7,3,hole punch,no,yes,no,hole punch,7.3.jpg:Hole punch,2828,122.727,111,131,0.966,,
Oyster River,7,3,middle,no,no,no,middle,7.3.jpg:Middle,2828,143.968,133,153,0.966,,
Oyster River,7,3,end,no,no,no,end,7.3.jpg:End,2828,159.046,133,172,0.966,,
Oyster River,7,4,hole punch,no,no,no,hole punch,7.4.jpg:Hole punch,2828,133.744,120,142,0.858,,
Oyster River,7,4,middle,no,no,no,middle,7.4.jpg:Middle,2828,143.822,122,157,0.858,,
Oyster River,7,4,end,no,no,no,end,7.4.jpg:End,2828,157.383,118,171,0.858,,
Oyster River,7,5,hole punch,no,no,no,hole punch,7.5.jpg:Hole punch,2828,124.016,115,131,0.893,,
Oyster River,7,5,middle,no,no,no,middle,7.5.jpg:Middle,2828,143.022,127,152,0.893,,
Oyster River,7,5,end,no,no,no,end,7.5.jpg:End,2828,155.925,131,165,0.893,,
Oyster River,7,6,hole punch,no,no,no,hole punch,7.6.jpg:Hole punch,2828,125.941,114,135,0.775,,
Oyster River,7,6,middle,no,no,no,middle,7.6.jpg:Middle,2828,147.818,128,156,0.775,,
Oyster River,7,6,end,no,no,no,end,7.6.jpg:End,2828,164.258,135,172,0.775,,
Oyster River,7,7,hole punch,no,no,no,hole punch,7.7.jpg:Hole punch,2828,120.993,107,131,0.926,,
Oyster River,7,7,middle,no,no,no,middle,7.7.jpg:Middle,2828,148.524,128,156,0.926,,
Oyster River,7,7,end,no,no,no,end,7.7.jpg:End,2828,160.877,121,173,0.926,,
Oyster River,7,8,hole punch,no,no,no,hole punch,7.8.jpg:Hole punch,2828,105.634,95,115,1.616,,
Oyster River,7,8,middle,no,no,no,middle,7.8.jpg:Middle,2828,139.803,118,147,1.616,,
Oyster River,7,8,end,no,no,no,end,7.8.jpg:End,2828,149.193,123,161,1.616,,
Oyster River,7,9,hole punch,no,no,no,hole punch,7.9.jpg:Hole punch,2828,104.274,86,113,1.397,,
Oyster River,7,9,middle,no,no,no,middle,7.9.jpg:Middle,2828,137.38,114,151,1.397,,
Oyster River,7,9,end,no,no,no,end,7.9.jpg:End,2828,158.999,123,168,1.397,,
Oyster River,7,10,hole punch,no,no,no,hole punch,7.10.jpg:Hole punch,2828,114.963,107,124,0.87,broken to pieces but got most of them,
Oyster River,7,10,middle,no,no,no,middle,7.10.jpg:Middle,2828,141.456,123,150,0.87,broken to pieces but got most of them,
Oyster River,7,10,end,no,no,no,end,7.10.jpg:End,2828,151.856,131,161,0.87,broken to pieces but got most of them,
Oyster River,7,11,stipe,no,no,no,stipe,7.11.jpg:Stipe,2828,99.981,89,111,1.128,,
Oyster River,7,11,hole punch,no,yes,no,hole punch,7.11.jpg:Hole punch,2828,112.257,84,122,1.128,,
Oyster River,7,11,middle,no,no,no,middle,7.11.jpg:Middle,2828,143.895,113,152,1.128,,
Oyster River,7,11,end,no,no,no,end,7.11.jpg:End,2828,146.216,130,154,1.128,,
Oyster River,7,12,hole punch,no,no,no,hole punch,7.12.jpg:Hole punch,2828,126.653,114,137,0.85,,
Oyster River,7,12,middle,no,no,no,middle,7.12.jpg:Middle,2828,146.188,138,154,0.85,,
Oyster River,7,12,end,no,no,no,end,7.12.jpg:End,2828,167.479,140,176,0.85,,
Oyster River,12,1,stipe,yes,no,no,stipe smaller,12.1.jpg:Stipe smaller,2348,117.923,88,132,1.272,,
Oyster River,12,1,middle,no,no,no,middle,12.1.jpg:Middle,2828,153.032,104,165,1.272,,
Oyster River,12,1,end,no,no,no,end,12.1.jpg:End,2828,145.205,93,166,1.272,,
Oyster River,12,2,stipe,no,no,no,stipe,12.2.jpg:Stipe,2828,99.198,86,107,1.763,,
Oyster River,12,2,hole punch,no,yes,no,hole punch,12.2.jpg:Hole punch,2828,119.804,112,130,1.763,,
Oyster River,12,2,middle,no,no,no,middle,12.2.jpg:Middle,2828,138.818,122,147,1.763,,
Oyster River,12,2,end,no,no,no,end,12.2.jpg:End,2828,157.534,145,167,1.763,,
Oyster River,12,3,stipe,yes,no,no,stipe smaller,12.3.jpg:Stipe smaller,1444,122.526,67,134,0.952,,
Oyster River,12,3,hole punch,no,no,no,hole punch,12.3.jpg:Hole punch,2828,137.771,111,157,0.952,,
Oyster River,12,3,middle,no,no,no,middle,12.3.jpg:Middle,2828,143.995,61,165,0.952,,
Oyster River,12,3,end,no,no,no,end,12.3.jpg:End,2828,170.798,100,183,0.952,,
Oyster River,12,4,stipe,no,no,no,stipe,12.4secondblade.jpg:Stipe,2828,117.409,98,131,1.039,,
Oyster River,12,4,hole punch,no,yes,no,hole punch,12.4secondblade.jpg:Hole punch,2828,140.527,124,151,1.039,,
Oyster River,12,4,middle,no,no,no,middle,12.4secondblade.jpg:Middle,2828,155.862,142,163,1.039,,
Oyster River,12,4,end,no,no,no,end,12.4secondblade.jpg:End,2828,163.882,128,175,1.039,,
Oyster River,12,5,hole punch,no,no,no,hole punch,12.5.jpg:Hole punch,2828,122.432,110,134,1.144,,
Oyster River,12,5,middle,no,no,no,middle,12.5.jpg:Middle,2828,155.668,124,164,1.144,,
Oyster River,12,5,end,no,no,no,end,12.5.jpg:End,2828,162.649,123,176,1.144,,
Oyster River,12,6,hole punch,no,no,no,hole punch,12.6.jpg:Hole punch,2828,99.798,87,111,1.894,,
Oyster River,12,6,middle,no,no,no,middle,12.6.jpg:Middle,2828,151.589,131,161,1.894,,
Oyster River,12,6,end,no,no,no,end,12.6.jpg:End,2828,155.249,124,164,1.894,,
Oyster River,12,7,hole punch,no,no,no,hole punch,12.7.jpg:Hole punch,2828,80.045,67,95,1.954,,
Oyster River,12,7,middle,no,no,no,middle,12.7.jpg:Middle,2828,138.643,119,149,1.954,,
Oyster River,12,7,end,no,no,no,end,12.7.jpg:End,2828,168.258,137,178,1.954,,
Oyster River,12,8,hole punch,no,no,no,hole punch,12.8.jpg:Hole punch,2828,120.974,110,130,1.153,,
Oyster River,12,8,middle,no,no,no,middle,12.8.jpg:Middle,2828,151.458,135,160,1.153,,
Oyster River,12,8,end,no,no,no,end,12.8.jpg:End,2828,157.048,109,167,1.153,,
Oyster River,12,9,hole punch,no,no,no,hole punch,12.9.jpg:Hole punch,2828,97.455,87,106,1.787,,
Oyster River,12,9,middle,no,no,no,middle,12.9.jpg:Middle,2828,135.563,125,148,1.787,,
Oyster River,12,9,end,no,no,no,end,12.9.jpg:End,2828,160.161,139,167,1.787,,
Oyster River,12,10,stipe,no,no,no,stipe,12.10.jpg:Stipe,2828,96.542,86,108,1.439,,
Oyster River,12,10,hole punch,no,yes,no,hole punch,12.10.jpg:Hole punch,2828,113.254,103,122,1.439,,
Oyster River,12,10,middle,no,no,no,middle,12.10.jpg:Middle,2828,152.669,136,161,1.439,,
Oyster River,12,10,end,no,no,no,end,12.10.jpg:End,2828,152.002,134,161,1.439,,
Oyster River,12,11,hole punch,no,no,no,hole punch,12.11.jpg:Hole punch,2828,92.626,75,105,1.398,,
Oyster River,12,11,middle,no,no,no,middle,12.11.jpg:Middle,2828,137.523,116,146,1.398,,
Oyster River,12,11,end,no,no,no,end,12.11.jpg:End,2828,154.5,142,165,1.398,,
Oyster River,12,12,hole punch,,,,hole punch,,,,,,0.962,,
Vancouver,1,1,hole punch,,,,hole punch,,,,,,1.022,,
Vancouver,1,2,hole punch,yes,no,no,hole punch,1.2.jpg:Hole punch smaller,1736,157.997,149,172,0.934,,
