population,line_number,kelp_individual,hole_punch_date,hole_punch_distance_initial_cm,stipe_length_initial_cm,hole_punch_measurement_date,hole_punch_distance_final_outer1_cm,hole_punch_distance_final_outer2_cm,hole_punch_distance_final_inner1_cm,hole_punch_distance_final_inner2_cm,stipe_length_final_cm,stipe_width_cm,bulb_length_cm,bulb_diameter_cm,pre_bulb_diameter_cm,blade_length_longest_cm,blade_width_longest_cm,weight_wet_g,DNA_sample,RNA_sample,photos,
Oyster River,7,3,2023-05-25,4.2,59,2023-06-06,NA,NA,NA,NA,60.0,0.36,4.4,3.7,1.00,47.0,4.1,92,yes - blade,yes - blade 10cm,014.NEF,
Oyster River,7,4,2023-05-25,4.2,58,2023-06-06,10.4,10.2,10.5,NA,62.0,0.30,4.0,3.3,0.70,29.0,4.1,39,yes - blade,yes - blade 10cm,015.NEF,
Oyster River,7,5,2023-05-25,4.2,75,2023-06-06,15,17.2,16.1,NA,79.5,0.31,4.3,3.7,0.80,44.5,2.7,70,yes - blade,yes - blade 10cm,016.NEF,
Oyster River,7,6,2023-05-25,4.2,61,2023-06-06,12.4,12.5,12.1,12.6,57.5,0.35,4.4,3.6,0.70,31.0,5.2,50,yes - blade,yes - blade 10cm,017.NEF,
Oyster River,7,7,2023-05-25,4.2,71,2023-06-06,15,14.5,NA,NA,72.5,0.30,4.7,4.2,1.10,46.0,5.4,97,yes - blade,yes - blade 10cm,018.NEF,
Oyster River,7,8,NA,NA,NA,2023-06-08,NA,NA,NA,NA,92.0,0.46,5.4,4.1,1.20,69.0,7.5,170,yes - blade,no,069.NEF,
Oyster River,7,9,NA,NA,NA,2023-06-08,NA,NA,NA,NA,132.5,0.44,5.4,4.9,1.30,60.5,5.0,165,yes - blade,no,070.NEF,
Oyster River,7,10,NA,NA,NA,2023-06-08,NA,NA,NA,NA,74.5,0.31,4.1,3.8,0.80,33.0,6.2,64,yes - blade,no,071.NEF,
Oyster River,7,11,NA,NA,NA,2023-06-08,NA,NA,NA,NA,78.5,0.33,4.8,4.0,1.00,42.0,5.7,80,yes - blade,no,072.NEF,
Oyster River,7,12,NA,NA,NA,2023-06-08,NA,NA,NA,NA,71.0,0.36,4.7,4.0,1.10,51.0,3.7,89,yes - blade,no,073.NEF,
Brown's Bay,8,1,2023-05-25,4.2,67.5,2023-06-07,6.4,NA,6.5,NA,69.5,0.30,4.7,4.8,1.10,9.5,2.5,44,yes - blade,no,015.NEF,
Brown's Bay,8,2,2023-05-25,4.2,68,2023-06-07,9,9.9,9,9.5,71.0,0.34,4.5,4.3,1.00,21.0,3.0,60,yes - blade,no,016.NEF,
Brown's Bay,8,3,2023-05-25,4.2,86,2023-06-07,7,8,7.5,6.5,87.5,0.31,4.3,4.1,1.10,21.0,3.0,51,yes - blade,no,017.NEF,
Brown's Bay,8,4,2023-05-25,4.2,59.5,2023-06-07,8,NA,8,7,59.0,0.41,5.1,5.3,1.30,21.0,3.0,80,yes - blade,no,018.NEF,
Brown's Bay,8,5,2023-05-25,4.2,52,2023-06-07,7.9,NA,8.6,6.9,53.7,0.30,4.1,4.2,1.00,16.3,2.3,44,yes - blade,no,019.NEF,
Brown's Bay,8,6,2023-05-25,4.2,103,2023-06-07,9.3,9.8,10.8,12.8,107.3,0.40,5.4,4.7,1.50,28.7,4.5,105,yes - blade,no,014.NEF,
Brown's Bay,8,7,2023-05-25,4.2,66,2023-06-07,7.9,9.8,9.4,9.5,70.0,0.30,4.0,3.8,0.80,25.5,3.1,51,yes - blade,no,013.NEF,
Brown's Bay,8,8,NA,NA,NA,2023-06-08,NA,NA,NA,NA,230.5,0.52,5.7,5.5,2.50,58.0,5.3,510,yes - blade,no,094.NEF,
Brown's Bay,8,9,NA,NA,NA,2023-06-08,NA,NA,NA,NA,186.5,0.45,5.5,5.8,2.20,36.0,4.0,230,yes - blade,no,095.NEF,
Brown's Bay,8,10,NA,NA,NA,2023-06-08,NA,NA,NA,NA,202.5,0.33,5.2,4.6,1.90,27.0,2.2,116,yes - blade,no,096.NEF,
Brown's Bay,8,11,NA,NA,NA,2023-06-08,NA,NA,NA,NA,221.0,0.42,6.0,5.6,2.30,45.0,3.2,319,yes - blade,no,097.NEF,
Brown's Bay,8,12,NA,NA,NA,2023-06-08,NA,NA,NA,NA,220.5,0.36,5.4,4.9,1.80,17.0,2.0,102,yes - blade,no,098.NEF,
Brown's Bay,9,1,2023-05-25,4.2,59,2023-06-06,8.3,8.3,9.3,11.5,65.5,0.38,4.4,4.1,1.00,21.0,9.1,42,yes - blade,no,039.NEF,
Brown's Bay,9,2,2023-05-25,4.2,55.5,2023-06-06,7.3,7.6,7.8,NA,59.2,0.29,4.1,3.9,1.20,18.3,2.7,41,yes - blade,no,040.NEF,
Brown's Bay,9,3,2023-05-25,4.2,65,2023-06-06,10.3,NA,10,NA,65.4,0.32,4.9,4.2,1.20,30.0,3.9,65,yes - blade,no,041.NEF,
Brown's Bay,9,4,2023-05-25,4.2,46.5,2023-06-06,7,NA,8,8.2,46.4,0.31,4.1,3.5,1.00,19.2,2.2,34,yes - blade,no,042.NEF,
Brown's Bay,9,5,2023-05-25,4.2,60.5,2023-06-06,7.6,6.3,7,NA,61.0,0.30,3.8,3.5,0.70,20.0,2.6,30,yes - blade,no,043.NEF,
Brown's Bay,9,6,2023-05-25,4.2,63,2023-06-06,8.5,8.8,7.6,8.8,61.0,0.31,4.0,3.9,1.00,21.0,3.7,47,yes - blade,no,044.NEF; 045.NEF,adjusted camera
Brown's Bay,9,7,2023-05-25,4.2,53.5,2023-06-06,6.7,NA,7.8,8.2,54.0,0.30,4.6,4.4,0.80,19.7,3.1,42,yes - blade,no,046.NEF,
Brown's Bay,9,8,NA,NA,NA,2023-06-08,NA,NA,NA,NA,204.5,0.50,6.8,5.4,3.00,50.0,3.4,491,yes - blade,yes - blade 1cm; blade 10cm; blade end; bulb; stipe; holdfast,054.NEF,
Brown's Bay,9,9,NA,NA,NA,2023-06-08,NA,NA,NA,NA,214.0,0.50,6.6,5.7,3.00,69.5,1.7,501,yes - blade,no,055.NEF,
Brown's Bay,9,10,NA,NA,NA,2023-06-08,NA,NA,NA,NA,191.0,0.30,5.1,4.5,2.00,22.3,3.0,86,yes - blade,no,056.NEF,adjusted camera
Brown's Bay,9,11,NA,NA,NA,2023-06-08,NA,NA,NA,NA,202.1,0.30,5.9,5.3,1.80,69.5,3.9,171,yes - blade,no,057.NEF,
Brown's Bay,9,12,NA,NA,NA,2023-06-08,NA,NA,NA,NA,187.6,0.20,4.8,4.0,1.00,30.9,4.0,90,yes - blade,no,058.NEF,
Vancouver,10,1,2023-05-25,4.2,67,2023-06-07,10,9.7,NA,NA,74.4,0.36,4.4,4.1,0.90,16.3,4.1,47,yes - blade,no,020.NEF,
Vancouver,10,2,2023-05-25,4.2,55,2023-06-07,7.5,NA,6.8,7.4,54.4,0.40,4.0,3.3,1.00,10.2,4.1,24,yes - blade,no,021.NEF,
Vancouver,10,3,2023-05-25,4.2,70,2023-06-07,9.8,NA,8.5,8.5,79.9,0.40,4.6,4.0,0.80,15.8,3.1,38,yes - blade,no,022.NEF,
Vancouver,10,4,2023-05-25,4.2,63.5,2023-06-07,9.2,NA,8.5,8.7,68.7,0.31,4.5,3.7,0.90,16.5,2.5,37,yes - blade,no,023.NEF,
Vancouver,10,5,2023-05-25,4.2,57,2023-06-07,8,8.2,8.8,7.9,59.5,0.31,4.4,3.5,0.90,14.5,3.5,31,yes - blade,no,024.NEF,
Vancouver,10,6,2023-05-25,4.2,59,2023-06-07,7.2,NA,6.5,7.2,61.5,0.25,4.0,3.2,0.70,11.0,3.5,24,yes - blade,no,025.NEF,
Vancouver,10,7,2023-05-25,4.2,67,2023-06-07,8.7,8.9,9.5,10,101.3,0.29,5.1,4.0,1.10,20.5,2.9,26,yes - blade,no,026.NEF,
Vancouver,10,8,NA,NA,NA,2023-06-08,NA,NA,NA,NA,203.0,0.41,5.5,4.7,1.70,37.0,4.5,144,yes - blade,no,084.NEF,
Vancouver,10,9,NA,NA,NA,2023-06-08,NA,NA,NA,NA,207.0,0.41,5.2,4.5,1.40,30.0,4.0,129,yes - blade,no,085.NEF,
Vancouver,10,10,NA,NA,NA,2023-06-08,NA,NA,NA,NA,199.5,0.41,4.9,4.2,1.50,29.0,4.5,132,yes - blade,no,086.NEF,
Vancouver,10,11,NA,NA,NA,2023-06-08,NA,NA,NA,NA,195.5,0.35,5.0,4.5,1.30,29.0,5.5,108,yes - blade,no,087.NEF,
Vancouver,10,12,NA,NA,NA,2023-06-08,NA,NA,NA,NA,198.0,0.38,5.5,4.1,1.60,35.0,5.5,105,yes - blade,no,088.NEF,
Victoria,11,1,2023-05-25,4.2,49.6,2023-06-06,4.5,5.5,5.8,NA,49.0,0.20,2.8,2.8,0.30,10.0,5.0,16,yes - blade,yes - blade 10cm,033.NEF,
Victoria,11,2,2023-05-25,4.2,45.8,2023-06-06,NA,NA,NA,NA,14.5,0.38,NA,NA,NA,NA,NA,3,no,no,NA,ripped in half; no dna sample; no photos; no rna sample
Victoria,11,3,2023-05-25,4.2,33,2023-06-06,5.7,5.25,7.05,NA,33.5,0.38,4.7,3.8,1.00,21.0,4.0,44,yes - blade,yes - blade 10cm,034.NEF,
Victoria,11,4,2023-05-25,4.2,59.5,2023-06-06,7.6,NA,5.6,NA,63.0,0.37,4.6,3.9,0.80,15.5,3.5,44,yes - blade,yes - blade 10cm,035.NEF,stipe length final was recorded as 61mm but this led to drastic negative growth so analyzed the photos and found the length was closer to 63mm.
Victoria,11,5,2023-05-25,4.2,55,2023-06-06,4.7,5,5.8,NA,51.0,0.20,3.7,3.3,0.50,7.6,2.4,20,yes - blade,yes - blade 10cm,036.NEF,stipe length final was recorded as 48mm but this led to drastic negative growth so analyzed the photos and found the length was closer to 51mm.
Victoria,11,6,2023-05-25,4.2,66,2023-06-06,7.4,8,NA,NA,63.5,0.30,4.7,4.0,1.10,19.5,1.7,45,yes - blade,yes - blade 10cm,,stipe length final was recorded as 57.5mm but this led to drastic negative growth so analyzed the photos and found the length was closer to 63.5mm.
Victoria,11,7,2023-05-25,4.2,69,2023-06-06,NA,NA,6.3,NA,70.0,0.60,5.6,4.7,1.00,21.0,5.3,73,yes - blade,yes - blade 10cm,,stipe length final was recorded as 64mm but this led to drastic negative growth so analyzed the photos and found the length was closer to 70mm.
Victoria,11,8,NA,NA,NA,2023-06-09,NA,NA,NA,NA,213.0,0.50,7.1,6.6,1.30,36.3,2.5,222,yes - blade,no,099.NEF,
Victoria,11,9,NA,NA,NA,2023-06-09,NA,NA,NA,NA,188.0,0.46,6.4,5.6,1.70,25.0,3.0,130,yes - blade,no,100.NEF,
Victoria,11,10,NA,NA,NA,2023-06-09,NA,NA,NA,NA,175.8,0.50,6.4,5.7,1.30,43.3,2.8,197,yes - blade,no,101.NEF,
Victoria,11,11,NA,NA,NA,2023-06-09,NA,NA,NA,NA,212.2,0.52,7.4,6.6,1.60,29.5,3.3,232,yes - blade,no,102.NEF,
Victoria,11,12,NA,NA,NA,2023-06-09,NA,NA,NA,NA,192.6,0.55,7.1,6.0,2.30,36.8,4.1,225,yes - blade,no,103.NEF,
Oyster River,12,1,2023-05-25,4.2,99,2023-06-07,8.5,8,NA,NA,103.0,0.53,6.2,5.6,1.40,31.0,3.0,140,yes - blade,yes - blade 10cm,001.NEF,
Oyster River,12,2,2023-05-25,4.2,82,2023-06-07,14,13,15,13.5,88.5,0.46,6.0,5.0,1.20,59.0,6.0,189,yes - blade,yes - blade 1cm; blade 10cm; blade end; bulb; stipe; holdfast,002.NEF,
Oyster River,12,3,2023-05-25,4.2,48,2023-06-07,5,6.5,6.5,NA,48.5,0.40,4.6,4.5,0.70,15.0,5.0,64,yes - blade,yes - blade 10cm,003.NEF,
Oyster River,12,4,2023-05-25,4.2,66.5,2023-06-07,13,NA,13.5,13,66.5,0.25,3.7,3.3,0.80,32.5,5.0,53,yes - blade,yes - blade 10cm,004.NEF,labeled 12.3 in photo; 2nd blade photographed file 060.NEF
Oyster River,12,5,2023-05-25,4.2,58.5,2023-06-07,11.5,12.5,13,13,61.5,0.33,4.5,3.4,1.00,35.0,5.7,75,yes - blade,yes - blade 10cm,005.NEF,
Oyster River,12,6,2023-05-25,4.2,82.5,2023-06-07,13.5,13,15,15.5,82.5,0.32,4.2,3.5,0.90,49.0,5.5,74,yes - blade,yes - blade 10cm,007.NEF,
Oyster River,12,7,2023-05-25,4.2,52,2023-06-07,16,14,16,18,55.5,0.40,4.7,4.2,NA,48.0,7.5,119,yes - blade,yes - blade 10cm,008.NEF,
Oyster River,12,8,NA,NA,NA,2023-06-09,NA,NA,NA,NA,135.5,0.40,5.4,3.9,1.00,43.0,4.7,465,yes - blade,no,104.NEF,
Oyster River,12,9,NA,NA,NA,2023-06-09,NA,NA,NA,NA,143.0,0.47,6.5,5.3,1.80,78.2,9.0,340,yes - blade,no,105.NEF,
Oyster River,12,10,NA,NA,NA,2023-06-09,NA,NA,NA,NA,148.5,0.49,6.2,5.3,1.50,82.0,8.3,356,yes - blade,no,106.NEF,
Oyster River,12,11,NA,NA,NA,2023-06-09,NA,NA,NA,NA,127.0,0.51,7.0,6.1,1.90,99.0,9.0,629,yes - blade,no,107.NEF,
Oyster River,12,12,NA,NA,NA,2023-06-09,NA,NA,NA,NA,123.5,0.48,5.6,4.5,1.20,98.5,6.5,231,yes - blade,no,109.NEF,discarded photo 108.NEF
Gabriola,13,1,2023-05-25,4.2,52.5,2023-06-06,NA,NA,NA,NA,53.5,0.44,5.0,4.5,1.00,NA,NA,45,no,no,NA,no blades
Gabriola,13,2,2023-05-25,4.2,40.6,2023-06-06,NA,NA,NA,NA,40.8,0.40,4.7,4.0,0.80,7.0,1.1,35,yes - blade,no,048.NEF,no holes
Gabriola,13,3,2023-05-25,4.2,12.5,2023-06-06,8.4,NA,NA,NA,13.2,0.35,2.4,2.0,0.22,12.8,3.4,7,yes - blade,no,047.NEF,
Gabriola,13,4,2023-05-25,4.2,82.5,2023-06-06,9,9,8.4,NA,84.0,0.43,5.9,4.5,1.40,33.7,3.1,81,yes - blade,no,049.NEF,
Gabriola,14,1,2023-05-25,4.2,139.5,2023-06-07,7,NA,10,9,179.0,0.41,6.0,5.7,2.00,32.0,4.0,173,yes - blade,no,012.NEF,
Gabriola,14,2,2023-05-25,4.2,197,2023-06-07,11,NA,12,9.5,202.0,0.50,6.3,5.7,2.50,45.0,4.5,375,yes - blade,no,011.NEF,
Gabriola,14,3,2023-05-25,4.2,147,2023-06-07,NA,NA,15,12.5,147.0,0.44,6.4,6.0,1.90,36.0,4.0,177,yes - blade,no,010.NEF,
Gabriola,14,4,2023-05-25,4.2,40.5,2023-06-07,5.3,NA,NA,NA,38.0,0.38,4.5,4.1,1.00,8.3,3.0,42,yes - blade,no,009.NEF,