id,date,plot_no,population,plant,total,stipe_without_float,stipe_with_float,holdfast,float,blade,bleaching_condition,area_bleached,area_torn,sori,notes
1,2023-03-17,1,Vancouver,1,60,0,0,NA,NA,60,NA,NA,NA,NA,
2,2023-03-17,1,Vancouver,2,95,0,0,NA,NA,95,NA,NA,NA,NA,
3,2023-03-17,1,Vancouver,3,70,0,0,NA,NA,70,NA,NA,NA,NA,
4,2023-03-17,1,Vancouver,4,70,0,0,NA,NA,70,NA,NA,NA,NA,
5,2023-03-17,1,Vancouver,5,90,0,0,NA,NA,90,NA,NA,NA,NA,
6,2023-03-17,1,Vancouver,6,70,0,0,NA,NA,70,NA,NA,NA,NA,
7,2023-03-17,1,Vancouver,7,120,0,0,NA,NA,120,NA,NA,NA,NA,
8,2023-03-17,1,Vancouver,8,65,0,0,NA,NA,65,NA,NA,NA,NA,
9,2023-03-17,1,Vancouver,9,40,0,0,NA,NA,40,NA,NA,NA,NA,
10,2023-03-17,1,Vancouver,10,40,0,0,NA,NA,40,NA,NA,NA,NA,
11,2023-03-17,2,Oyster River,1,30,0,0,NA,NA,30,NA,NA,NA,NA,
12,2023-03-17,2,Oyster River,2,40,5,5,NA,NA,35,NA,NA,NA,NA,
13,2023-03-17,2,Oyster River,3,35,0,0,NA,NA,35,NA,NA,NA,NA,
14,2023-03-17,2,Oyster River,4,40,0,0,NA,NA,40,NA,NA,NA,NA,
15,2023-03-17,2,Oyster River,5,40,0,0,NA,NA,40,NA,NA,NA,NA,
16,2023-03-17,2,Oyster River,6,40,0,0,NA,NA,40,NA,NA,NA,NA,
17,2023-03-17,2,Oyster River,7,40,0,0,NA,NA,40,NA,NA,NA,NA,
18,2023-03-17,2,Oyster River,8,30,0,0,NA,NA,30,NA,NA,NA,NA,
19,2023-03-17,2,Oyster River,9,30,0,0,NA,NA,30,NA,NA,NA,NA,
20,2023-03-17,2,Oyster River,10,35,0,0,NA,NA,35,NA,NA,NA,NA,
21,2023-03-17,3,Victoria,1,20,0,0,NA,NA,20,NA,NA,NA,NA,
22,2023-03-17,3,Victoria,2,35,0,0,NA,NA,35,NA,NA,NA,NA,
23,2023-03-17,3,Victoria,3,60,10,10,NA,NA,50,NA,NA,NA,NA,
24,2023-03-17,3,Victoria,4,50,0,0,NA,NA,50,NA,NA,NA,NA,
25,2023-03-17,3,Victoria,5,60,10,10,NA,NA,50,NA,NA,NA,NA,
26,2023-03-17,3,Victoria,6,110,20,20,NA,NA,90,NA,NA,NA,NA,
27,2023-03-17,3,Victoria,7,50,0,0,NA,NA,50,NA,NA,NA,NA,
28,2023-03-17,3,Victoria,8,55,0,0,NA,NA,55,NA,NA,NA,NA,
29,2023-03-17,3,Victoria,9,40,0,0,NA,NA,40,NA,NA,NA,NA,
30,2023-03-17,3,Victoria,10,35,0,0,NA,NA,35,NA,NA,NA,NA,
31,2023-03-17,4,Brown's Bay,1,220,50,70,10,10,150,NA,NA,NA,NA,
32,2023-03-17,4,Brown's Bay,2,340,80,120,20,20,220,NA,NA,NA,NA,
33,2023-03-17,4,Brown's Bay,3,290,60,80,10,10,210,NA,NA,NA,NA,
34,2023-03-17,4,Brown's Bay,4,350,70,80,10,NA,270,NA,NA,NA,NA,
35,2023-03-17,4,Brown's Bay,5,370,120,150,NA,30,220,NA,NA,NA,NA,
36,2023-03-17,4,Brown's Bay,6,280,80,100,NA,20,180,NA,NA,NA,NA,
37,2023-03-17,4,Brown's Bay,7,260,60,80,NA,20,180,NA,NA,NA,NA,
38,2023-03-17,4,Brown's Bay,8,300,70,100,20,20,200,NA,NA,NA,NA,
39,2023-03-17,4,Brown's Bay,9,300,100,135,20,25,165,NA,NA,NA,NA,
40,2023-03-17,4,Brown's Bay,10,500,180,220,20,30,280,NA,NA,NA,NA,"Divers took a few more measurements, only recorded first 10"
41,2023-03-17,5,Vancouver,1,45,0,0,NA,NA,45,NA,NA,NA,NA,
42,2023-03-17,5,Vancouver,2,50,0,0,NA,NA,50,NA,NA,NA,NA,
43,2023-03-17,5,Vancouver,3,100,20,20,NA,NA,80,NA,NA,NA,NA,
44,2023-03-17,5,Vancouver,4,110,20,20,NA,NA,90,NA,NA,NA,NA,
45,2023-03-17,5,Vancouver,5,40,0,0,NA,NA,40,NA,NA,NA,NA,
46,2023-03-17,5,Vancouver,6,60,0,0,NA,NA,60,NA,NA,NA,NA,
47,2023-03-17,5,Vancouver,7,40,0,0,NA,NA,40,NA,NA,NA,NA,
48,2023-03-17,5,Vancouver,8,50,0,50,NA,NA,0,NA,NA,NA,NA,
49,2023-03-17,5,Vancouver,9,55,0,0,0,0,55,NA,NA,NA,NA,
50,2023-03-17,5,Vancouver,10,130,30,30,NA,1,100,NA,NA,NA,NA,
51,2023-03-17,6,Victoria,1,50,15,15,10,NA,35,NA,NA,NA,NA,
52,2023-03-17,6,Victoria,2,50,10,10,NA,NA,40,NA,NA,NA,NA,
53,2023-03-17,6,Victoria,3,40,0,0,NA,NA,40,NA,NA,NA,NA,
54,2023-03-17,6,Victoria,4,75,10,10,10,NA,65,NA,NA,NA,NA,
55,2023-03-17,6,Victoria,5,90,10,10,10,NA,80,NA,NA,NA,NA,
56,2023-03-17,6,Victoria,6,80,10,10,10,NA,70,NA,NA,NA,NA,
57,2023-03-17,6,Victoria,7,95,0,0,NA,NA,95,NA,NA,NA,NA,
58,2023-03-17,6,Victoria,8,80,20,20,10,NA,60,NA,NA,NA,NA,
59,2023-03-17,6,Victoria,9,80,10,10,NA,NA,70,NA,NA,NA,NA,
60,2023-03-17,6,Victoria,10,130,20,20,10,NA,110,NA,NA,NA,NA,"Divers took a few more measurements, only recorded first 10"
61,2023-03-17,7,Oyster River,1,60,10,10,NA,NA,50,NA,NA,NA,NA,
62,2023-03-17,7,Oyster River,2,90,15,15,NA,NA,75,NA,NA,NA,NA,
63,2023-03-17,7,Oyster River,3,30,0,0,NA,NA,30,NA,NA,NA,NA,
64,2023-03-17,7,Oyster River,4,30,0,0,NA,NA,30,NA,NA,NA,NA,
65,2023-03-17,7,Oyster River,5,30,0,0,NA,NA,30,NA,NA,NA,NA,
66,2023-03-17,7,Oyster River,6,40,0,0,NA,NA,40,NA,NA,NA,NA,
67,2023-03-17,7,Oyster River,7,30,0,0,NA,NA,30,NA,NA,NA,NA,
68,2023-03-17,7,Oyster River,8,40,0,0,NA,NA,40,NA,NA,NA,NA,
69,2023-03-17,7,Oyster River,9,30,0,0,NA,NA,30,NA,NA,NA,NA,
70,2023-03-17,7,Oyster River,10,35,0,0,NA,NA,35,NA,NA,NA,NA,
71,2023-03-17,8,Brown's Bay,1,450,140,210,NA,20,240,NA,NA,NA,NA,
72,2023-03-17,8,Brown's Bay,2,400,130,145,10,15,255,NA,NA,NA,NA,
73,2023-03-17,8,Brown's Bay,3,300,110,125,NA,15,175,NA,NA,NA,NA,
74,2023-03-17,8,Brown's Bay,4,750,280,315,40,35,435,NA,NA,NA,NA,"extreme approximation, ruler was only 30 cm"
75,2023-03-17,8,Brown's Bay,5,600,200,230,30,30,370,NA,NA,NA,NA,"extreme approximation, ruler was only 30 cm"
76,2023-03-17,8,Brown's Bay,6,400,100,120,30,20,280,NA,NA,NA,NA,
77,2023-03-17,8,Brown's Bay,7,500,170,190,30,20,310,NA,NA,NA,NA,
78,2023-03-17,8,Brown's Bay,8,450,140,150,NA,10,300,NA,NA,NA,NA,this was right next to #7
79,2023-03-17,8,Brown's Bay,9,170,40,45,NA,5,125,NA,NA,NA,NA,
80,2023-03-17,8,Brown's Bay,10,170,40,45,NA,5,125,NA,NA,NA,NA,this was right next to #9
81,2023-03-17,9,Brown's Bay,1,450,180,205,NA,25,245,NA,NA,NA,NA,
82,2023-03-17,9,Brown's Bay,2,280,160,180,20,20,100,NA,NA,NA,NA,
83,2023-03-17,9,Brown's Bay,3,190,100,110,NA,10,80,NA,NA,NA,NA,
84,2023-03-17,9,Brown's Bay,4,220,120,130,10,10,90,NA,NA,NA,NA,
85,2023-03-17,9,Brown's Bay,5,500,190,210,20,20,290,NA,NA,NA,NA,
86,2023-03-17,9,Brown's Bay,6,550,200,220,20,20,330,NA,NA,NA,NA,
87,2023-03-17,9,Brown's Bay,7,350,100,115,NA,15,235,NA,NA,NA,NA,
88,2023-03-17,9,Brown's Bay,8,400,130,145,20,15,255,NA,NA,NA,NA,
89,2023-03-17,9,Brown's Bay,9,650,270,295,NA,25,355,NA,NA,NA,NA,
90,2023-03-17,9,Brown's Bay,10,500,160,180,20,20,320,NA,NA,NA,NA,
91,2023-03-17,10,Vancouver,1,30,0,0,NA,NA,30,NA,NA,NA,NA,
92,2023-03-17,10,Vancouver,2,45,0,0,NA,NA,45,NA,NA,NA,NA,
93,2023-03-17,10,Vancouver,3,40,0,0,NA,NA,40,NA,NA,NA,NA,
94,2023-03-17,10,Vancouver,4,65,15,15,NA,NA,50,NA,NA,NA,NA,
95,2023-03-17,10,Vancouver,5,155,30,25,NA,NA,130,NA,NA,NA,NA,
96,2023-03-17,10,Vancouver,6,70,10,10,NA,NA,60,NA,NA,NA,NA,
97,2023-03-17,10,Vancouver,7,130,25,25,NA,NA,105,NA,NA,NA,NA,
98,2023-03-17,10,Vancouver,8,130,30,30,NA,NA,100,NA,NA,NA,NA,
99,2023-03-17,10,Vancouver,9,50,0,0,NA,NA,50,NA,NA,NA,NA,
100,2023-03-17,10,Vancouver,10,60,10,10,NA,NA,50,NA,NA,NA,NA,
101,2023-03-17,11,Victoria,1,70,10,10,NA,NA,60,NA,NA,NA,NA,
102,2023-03-17,11,Victoria,2,60,0,0,NA,NA,60,NA,NA,NA,NA,
103,2023-03-17,11,Victoria,3,70,10,10,NA,NA,60,NA,NA,NA,NA,
104,2023-03-17,11,Victoria,4,90,15,15,NA,NA,75,NA,NA,NA,NA,
105,2023-03-17,11,Victoria,5,100,10,10,NA,NA,90,NA,NA,NA,NA,
106,2023-03-17,11,Victoria,6,70,5,5,NA,NA,65,NA,NA,NA,NA,
107,2023-03-17,11,Victoria,7,80,10,10,NA,NA,70,NA,NA,NA,NA,
108,2023-03-17,11,Victoria,8,110,20,25,10,5,85,NA,NA,NA,NA,
109,2023-03-17,11,Victoria,9,55,5,5,NA,NA,50,NA,NA,NA,NA,
110,2023-03-17,11,Victoria,10,85,10,10,NA,NA,75,NA,NA,NA,NA,"Divers took a few more measurements, only recorded first 10"
111,2023-03-17,12,Oyster River,1,70,5,5,NA,NA,65,NA,NA,NA,NA,
112,2023-03-17,12,Oyster River,2,55,0,0,NA,NA,55,NA,NA,NA,NA,"Kelp doing very poorly here - filamentous algae on blades, thin"
113,2023-03-17,12,Oyster River,3,40,2.5,2.5,NA,NA,37.5,NA,NA,NA,NA,
114,2023-03-17,12,Oyster River,4,40,0,0,NA,NA,40,NA,NA,NA,NA,Cannot see stipes because of algae fouling
115,2023-03-17,12,Oyster River,5,70,15,15,NA,NA,55,NA,NA,NA,NA,
116,2023-03-17,12,Oyster River,6,40,0,0,NA,NA,40,NA,NA,NA,NA,
117,2023-03-17,12,Oyster River,7,35,0,0,NA,NA,35,NA,NA,NA,NA,
118,2023-03-17,12,Oyster River,8,35,0,0,NA,NA,35,NA,NA,NA,NA,
119,2023-03-17,12,Oyster River,9,100,15,15,NA,NA,85,NA,NA,NA,NA,
120,2023-03-17,12,Oyster River,10,40,0,0,NA,NA,40,NA,NA,NA,NA,
121,2023-03-17,13,Gabriola,1,30,0,0,NA,NA,30,NA,NA,NA,NA,
122,2023-03-17,13,Gabriola,2,30,0,0,NA,NA,30,NA,NA,NA,NA,
123,2023-03-17,13,Gabriola,3,40,0,0,NA,NA,40,NA,NA,NA,NA,
124,2023-03-17,13,Gabriola,4,35,0,0,NA,NA,35,NA,NA,NA,NA,
125,2023-03-17,13,Gabriola,5,30,0,0,NA,NA,30,NA,NA,NA,NA,
126,2023-03-17,13,Gabriola,6,30,0,0,NA,NA,30,NA,NA,NA,NA,
127,2023-03-17,13,Gabriola,7,40,0,0,NA,NA,40,NA,NA,NA,NA,
128,2023-03-17,13,Gabriola,8,40,10,10,NA,NA,30,NA,NA,NA,NA,
129,2023-03-17,13,Gabriola,9,30,0,0,NA,NA,30,NA,NA,NA,NA,
130,2023-03-17,13,Gabriola,10,40,0,0,NA,NA,40,NA,NA,NA,NA,
131,2023-03-17,14,Gabriola,1,40,0,0,NA,NA,40,NA,NA,NA,NA,
132,2023-03-17,14,Gabriola,2,50,0,0,NA,NA,50,NA,NA,NA,NA,
133,2023-03-17,14,Gabriola,3,30,0,0,NA,NA,30,NA,NA,NA,NA,
134,2023-03-17,14,Gabriola,4,30,0,0,NA,NA,30,NA,NA,NA,NA,
135,2023-03-17,14,Gabriola,5,30,0,0,NA,NA,30,NA,NA,NA,NA,
136,2023-03-17,14,Gabriola,6,35,0,0,NA,NA,35,NA,NA,NA,NA,
137,2023-03-17,14,Gabriola,7,35,0,0,NA,NA,35,NA,NA,NA,NA,
138,2023-03-17,14,Gabriola,8,55,10,10,NA,NA,45,NA,NA,NA,NA,
139,2023-03-17,14,Gabriola,9,20,0,0,NA,NA,20,NA,NA,NA,NA,"All of this kelp doing poorly, filamentous algae on line"
140,2023-03-17,14,Gabriola,10,30,0,0,NA,NA,30,NA,NA,NA,NA,"Divers took a few more measurements, only recorded first 10"
141,2023-05-04,1,Vancouver,1,NA,NA,105,NA,8,NA,NA,NA,NA,NA,
142,2023-05-04,1,Vancouver,2,NA,NA,550,NA,NA,NA,NA,NA,NA,NA,
143,2023-05-04,1,Vancouver,3,NA,NA,640,NA,30,NA,NA,NA,NA,NA,
144,2023-05-04,1,Vancouver,4,NA,NA,300,NA,18,NA,NA,NA,NA,NA,
145,2023-05-04,1,Vancouver,5,NA,NA,1055,NA,35,NA,NA,NA,NA,NA,
146,2023-05-04,1,Vancouver,6,NA,NA,680,NA,25,NA,NA,NA,NA,NA,
147,2023-05-04,1,Vancouver,7,NA,NA,736,NA,22,NA,NA,NA,NA,NA,
148,2023-05-04,1,Vancouver,8,NA,NA,370,NA,18,NA,NA,NA,NA,NA,
149,2023-05-04,1,Vancouver,9,NA,NA,1400,NA,32,NA,NA,NA,NA,NA,
150,2023-05-04,1,Vancouver,10,NA,NA,160,NA,11,NA,NA,NA,NA,NA,
151,2023-05-04,3,Victoria,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
152,2023-05-04,3,Victoria,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
153,2023-05-04,3,Victoria,3,NA,NA,160,NA,16,NA,NA,NA,NA,NA,
154,2023-05-04,3,Victoria,4,NA,NA,135,NA,13,NA,NA,NA,NA,NA,
155,2023-05-04,3,Victoria,5,NA,NA,176,NA,18,NA,NA,NA,NA,NA,
156,2023-05-04,3,Victoria,6,NA,NA,117,NA,9,NA,NA,NA,NA,NA,
157,2023-05-04,3,Victoria,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
158,2023-05-04,3,Victoria,8,NA,NA,412,NA,39,NA,NA,NA,NA,NA,
159,2023-05-04,3,Victoria,9,NA,NA,300,NA,25,NA,NA,NA,NA,NA,
160,2023-05-04,3,Victoria,10,NA,NA,173,NA,15,NA,NA,NA,NA,NA,
161,2023-05-04,5,Vancouver,1,NA,NA,400,NA,22,NA,NA,NA,NA,NA,
162,2023-05-04,5,Vancouver,2,NA,NA,490,NA,25,NA,NA,NA,NA,NA,
163,2023-05-04,5,Vancouver,3,NA,NA,814,NA,29,NA,NA,NA,NA,NA,
164,2023-05-04,5,Vancouver,4,NA,NA,555,NA,23,NA,NA,NA,NA,NA,
165,2023-05-04,5,Vancouver,5,NA,NA,980,NA,35,NA,NA,NA,NA,NA,
166,2023-05-04,5,Vancouver,6,NA,NA,122,NA,3,NA,NA,NA,NA,NA,
167,2023-05-04,5,Vancouver,7,NA,NA,417,NA,22,NA,NA,NA,NA,NA,
168,2023-05-04,5,Vancouver,8,NA,NA,264,NA,16,NA,NA,NA,NA,NA,
169,2023-05-04,5,Vancouver,9,NA,NA,770,NA,26,NA,NA,NA,NA,NA,
170,2023-05-04,5,Vancouver,10,NA,NA,513,NA,26,NA,NA,NA,NA,NA,
171,2023-05-04,7,Oyster River,1,NA,NA,60,NA,5,NA,NA,NA,NA,NA,
172,2023-05-04,7,Oyster River,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
173,2023-05-04,7,Oyster River,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
174,2023-05-04,7,Oyster River,4,NA,NA,175,NA,20,NA,NA,NA,NA,NA,
175,2023-05-04,7,Oyster River,5,NA,NA,42,NA,4,NA,NA,NA,NA,NA,
176,2023-05-04,7,Oyster River,6,NA,NA,73,NA,5,NA,NA,NA,NA,NA,
177,2023-05-04,7,Oyster River,7,NA,NA,237,NA,19,NA,NA,NA,NA,NA,
178,2023-05-04,7,Oyster River,8,NA,NA,112,NA,8,NA,NA,NA,NA,NA,
179,2023-05-04,7,Oyster River,9,NA,NA,271,NA,20,NA,NA,NA,NA,NA,
180,2023-05-04,7,Oyster River,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
181,2023-05-04,9,Brown's Bay,1,NA,NA,1130,NA,49,NA,NA,NA,NA,NA,
182,2023-05-04,9,Brown's Bay,2,NA,NA,500,NA,33,NA,NA,NA,NA,NA,
183,2023-05-04,9,Brown's Bay,3,NA,NA,215,NA,21,NA,NA,NA,NA,NA,
184,2023-05-04,9,Brown's Bay,4,NA,NA,1065,NA,43,NA,NA,NA,NA,NA,
185,2023-05-04,9,Brown's Bay,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
186,2023-05-04,9,Brown's Bay,6,NA,NA,1245,NA,58,NA,NA,NA,NA,NA,
187,2023-05-04,9,Brown's Bay,7,NA,NA,152,NA,19,NA,NA,NA,NA,NA,
188,2023-05-04,9,Brown's Bay,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
189,2023-05-04,9,Brown's Bay,9,NA,NA,1370,NA,44,NA,NA,NA,NA,NA,
190,2023-05-04,9,Brown's Bay,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
191,2023-05-04,11,Victoria,1,NA,NA,130,NA,5,NA,NA,NA,NA,NA,
192,2023-05-04,11,Victoria,2,NA,NA,930,NA,31,NA,NA,NA,NA,NA,
193,2023-05-04,11,Victoria,3,NA,NA,180,NA,17,NA,NA,NA,NA,NA,
194,2023-05-04,11,Victoria,4,NA,NA,1080,NA,48,NA,NA,NA,NA,NA,
195,2023-05-04,11,Victoria,5,NA,NA,413,NA,33,NA,NA,NA,NA,NA,
196,2023-05-04,11,Victoria,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
197,2023-05-04,11,Victoria,7,NA,NA,127,NA,12,NA,NA,NA,NA,NA,
198,2023-05-04,11,Victoria,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
199,2023-05-04,11,Victoria,9,NA,NA,558,NA,40,NA,NA,NA,NA,NA,
200,2023-05-04,11,Victoria,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
201,2023-05-04,13,Gabriola,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,poor survivorship; only 6 individual bull kelp survive
202,2023-05-04,13,Gabriola,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,poor survivorship; only 6 individual bull kelp survive
203,2023-05-04,13,Gabriola,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,poor survivorship; only 6 individual bull kelp survive
204,2023-05-04,13,Gabriola,4,NA,NA,165,NA,21,NA,NA,NA,NA,NA,poor survivorship; only 6 individual bull kelp survive
205,2023-05-04,13,Gabriola,5,NA,NA,283,NA,25,NA,NA,NA,NA,NA,poor survivorship; only 6 individual bull kelp survive
206,2023-05-04,13,Gabriola,6,NA,NA,90,NA,17,NA,NA,NA,NA,NA,poor survivorship; only 6 individual bull kelp survive
207,2023-05-04,13,Gabriola,7,NA,NA,207,NA,20,NA,NA,NA,NA,NA,poor survivorship; only 6 individual bull kelp survive
208,2023-05-04,13,Gabriola,8,NA,NA,95,NA,70,NA,NA,NA,NA,NA,poor survivorship; only 6 individual bull kelp survive
209,2023-05-04,13,Gabriola,9,NA,NA,65,NA,8,NA,NA,NA,NA,NA,poor survivorship; only 6 individual bull kelp survive
210,2023-05-04,13,Gabriola,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,poor survivorship; only 6 individual bull kelp survive
211,2023-05-04,14,Gabriola,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,line starts ~6 meters in; poor survivorship; only 7 individuals survive but one is >1m tall
212,2023-05-04,14,Gabriola,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,line starts ~6 meters in; poor survivorship; only 7 individuals survive but one is >1m tall
